snapshot_date,gender,collection,rank,title,category,season_tag,product_type,price,compare_at_price,on_sale,color_count,image,handle,tags
2026-07-09,W,bestsellers,1,Splendor Bra - Black,BRA/TANK,SS,Women:Bras,68.0,,False,1,,w9351rg-splendor-bra-black,b:1:Best Seller;BISCollection;BuilderDropzoneStyle:AIRBRUSH;BVCategory:Women;ChinaCatalog;Color:Black:Color;ColorGroup:Black;Content:Builder;Fabric:Airbrush;Filter:DisplaySize:1:XXS - XS;Filter:Displa
2026-07-09,W,bestsellers,2,Airbrush High-Waist Heart Throb Legging - Black/White,LEGGING,SEASONLESS,Women:Bottoms:Leggings,134.0,,False,1,,w51298r-airbrush-high-waist-heart-throb-legging-black-white,b:1:Best Seller;BIScollection;BuilderDropzoneStyle:ABRSHRISE;BVCategory:Women;ChinaCatalog;Color:Black:Color;ColorGroup:Black;Content:Builder;FA23;FA23D3-family;Filter:DisplaySize:1:XXS - XS;Filter:Di
2026-07-09,W,bestsellers,3,Accolade Straight Leg Sweatpant - Navy,BOTTOM-WARM,FW,Women:Bottoms:Sweatpants,138.0,,False,1,,u5012rg-accolade-straight-leg-sweatpant-navy,AccoladeBoostBury;b:1:Best Seller;builderdropzonestyle:FYFASL;BVCategory:Women;Color:Navy:Color;ColorGroup:Blue;Content:Builder;Filter:DisplaySize:1:XXS - XS;Filter:DisplaySize:3:Small;Filter:DisplayS
2026-07-09,W,bestsellers,4,Accolade Crew Neck Pullover - Navy,FLEECE/KNIT,FW,Women:Outerwear:Coverups:Pullovers,138.0,,False,1,,u3031rg-accolade-crew-neck-pullover-navy,AA25-PDPselects;AccoladeBoostBury;b:1:Best Seller;BVCategory:Women;Color:Navy:Color;ColorGroup:Blue;FA25-Campaign;FA25D4-family;FA25Drops-family;Filter:DisplaySize:1:XXS - XS;Filter:DisplaySize:3:Smal
2026-07-09,W,bestsellers,5,Accolade 1/4 Zip Pullover - Athletic Heather Grey,FLEECE/KNIT,FW,Women:Outerwear:Coverups:Pullovers,148.0,,False,1,,u3040rg-accolade-1-4-zip-pullover-athletic-heather-grey,AccoladeBoostBury;b:1:Best Seller;BR:unisex;BVCategory:Women;Color:Athletic Grey:Color;ColorGroup:Grey;Filter:DisplaySize:1:XXS - XS;Filter:DisplaySize:3:Small;Filter:DisplaySize:4:Medium;Filter:Displ
2026-07-09,W,bestsellers,6,Accolade Crew Neck Pullover - Summer Romance Red,FLEECE/KNIT,FW,Women:Outerwear:Coverups:Pullovers,138.0,,False,1,,u3031rg-accolade-crew-neck-pullover-summer-romance-red,AccoladeBoostBury;b:1:Best Seller;BR:unisex;builderdropzonestyle:FYFACREW;BVCategory:Women;Color:Summer Romance Red:Color;ColorGroup:Red;ColorwayType:Limited;Content:Builder;Filter:DisplaySize:1:XXS -
2026-07-09,W,bestsellers,7,Match Point Short - Black,SHORTS/SKIRT,SS,Women:Bottoms:Shorts,78.0,,False,1,,w6334r-match-point-short-black,b:1:Best Seller;BIScollection;BVCategory:Women;ChinaCatalog;Color:Black:Color;ColorGroup:Black;FA23;FA23D1-family;Filter:DisplaySize:1:XXS - XS;Filter:DisplaySize:3:Small;Filter:DisplaySize:4:Medium;F
2026-07-09,W,bestsellers,8,Performance Off-Duty Cap - Black/Black,ACC,SEASONLESS,Accessories:Hats:Caps,68.0,,False,1,,a0543u-performance-off-duty-cap-black-black,b:1:Best Seller;BIScollection;BVCategory:Accessories;ChinaCatalog;Color:Black:Color;ColorGroup:Black;Maintenance:ColorwayProduct;master-accessories-all;master-man-all;master-woman-all;not_clearance;pr
2026-07-09,W,bestsellers,9,Goddess Ribbed First Pick Bra Tank - Black/White,BRA/TANK,SS,Women:Tops:Tanks,88.0,,False,1,,w9960r-goddess-ribbed-first-pick-bra-tank-black-white,b:1:Best Seller;BVCategory:Women;Color:Black:Color;ColorGroup:Black;Fabric:Ribbed;Filter:DisplaySize:1:XXS - XS;Filter:DisplaySize:3:Small;Filter:DisplaySize:4:Medium;Filter:DisplaySize:5:L - XL;Filte
2026-07-09,W,bestsellers,10,Unisex Half-Crew Throwback Sock - White/Black,ACC,SEASONLESS,Accessories:Socks,34.0,,False,1,,a0480u-unisex-half-crew-throwback-sock-white-black,b:1:Best Seller;BVCategory:Socks;Color:White:Color;ColorGroup:White;Filter:Size:L;Filter:Size:M;Filter:Size:S;Maintenance:ColorwayProduct;master-accessories-all;master-accessories-men;master-man-all;m
